"Third Audience Bot Analytics Export"
Generated,"2026-01-22 09:57:53 UTC"
"Total Records",124
Format,Detailed

ID,"Bot Type","Bot Name","User Agent",URL,"Post Title","Post Type","Request Method","Cache Status","Cache Explanation","Response Time (ms)","Response Size","IP Address",Referer,"Country Code","Visit Time (UTC)"
109,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/why-ruby-on-rails,"Why Ruby On Rails is Still The Best Choice For Your Start-up?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",34,"26.16 KB",2a03:2880:f802:1a::,Direct,US,"2026-01-22 08:38:03"
108,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/web-app-vs-website,"Web App vs Website: How to Choose Which is Best for Your Business?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",37,"20.65 KB",2a03:2880:f802:27::,Direct,US,"2026-01-22 08:37:01"
107,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/ecommerce-website-development-cost,"Ecommerce Website Development Cost: Everything You Need to Know",post,md_url,MISS,"Generated fresh (first visit or cache expired)",50,"29.10 KB",2a03:2880:f802:2b::,Direct,US,"2026-01-22 08:33:14"
106,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/angular-component-libraries,"The 6 Best Angular Component Libraries For Web Developers",post,md_url,MISS,"Generated fresh (first visit or cache expired)",40,"17.94 KB",2a03:2880:f802:3e::,Direct,US,"2026-01-22 08:31:30"
105,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/what-does-a-web-developer-do,"What Does a Web Developer Do? [Roles, Responsibilities and Salary]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",36,"15.49 KB",2a03:2880:f802:1b::,Direct,US,"2026-01-22 08:31:07"
104,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/angularjs-architecture,"6 Key Factors Defining Why AngularJS Architecture Is Special",post,md_url,MISS,"Generated fresh (first visit or cache expired)",31,"11.93 KB",2a03:2880:f802:12::,Direct,US,"2026-01-22 08:28:53"
103,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/web-portal-development-companies,"Top 11 Web Portal Development Companies in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",52,"24.58 KB",2a03:2880:f802:15::,Direct,US,"2026-01-22 08:26:06"
102,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/website-redesign,"Website Redesign Guide [Impact + Importance]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",30,"19.66 KB",2a03:2880:f802:6::,Direct,US,"2026-01-22 08:25:41"
101,Unknown_Bot,Mozilla,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",https://www.monocubed.com/blog/progressive-web-app-frameworks,"Best Progressive Web App Frameworks To Implement In [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",38,"16.98 KB",52.3.156.186,Direct,US,"2026-01-22 08:17:40"
100,Unknown_Bot,Mozilla,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",https://www.monocubed.com/blog/web-api-development,"The Ultimate Guide to Web API Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",36,"25.33 KB",52.3.26.180,Direct,US,"2026-01-22 08:17:30"
99,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/django-vs-express,"Django Vs Express: The Key Differences To Observe in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",34,"14.07 KB",2a03:2880:f802:23::,Direct,US,"2026-01-22 08:12:39"
98,Unknown_Bot,Mozilla,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",https://www.monocubed.com/blog,Blog,page,md_url,PRE_GENERATED,"Served from pre-generated cache (fastest)",3,"85.32 KB",40.77.167.41,Direct,US,"2026-01-22 08:04:12"
97,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/why-use-react,"Why Use React? - Top 8 Reasons Experts Use React in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",39,"22.41 KB",2a03:2880:f802:35::,Direct,US,"2026-01-22 08:02:59"
96,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/what-is-web-portal,"What is a Web Portal? A Comprehensive Guide",post,md_url,MISS,"Generated fresh (first visit or cache expired)",25,"16.74 KB",2a03:2880:f802:40::,Direct,US,"2026-01-22 07:59:46"
95,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/top-ways-to-improve-website-security,"8 Simple Ways to Improve Your Website Security",post,md_url,MISS,"Generated fresh (first visit or cache expired)",26,"19.08 KB",2a03:2880:f802:f::,Direct,US,"2026-01-22 07:59:20"
94,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/laravel-package-development,"Step by Step Guide to Custom Laravel Package Development",post,md_url,MISS,"Generated fresh (first visit or cache expired)",32,"17.87 KB",2a03:2880:f802:b::,Direct,US,"2026-01-22 07:54:11"
93,Unknown_Bot,Mozilla,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",https://www.monocubed.com/blog/vuejs-frameworks,"List of 10 Best Vuejs Frameworks to Use In [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",40,"14.92 KB",100.28.44.58,Direct,US,"2026-01-22 07:40:05"
92,Unknown_Bot,Mozilla,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Amazonbot/0.1; +https://developer.amazon.com/support/amazonbot) Chrome/119.0.6045.214 Safari/537.36",https://www.monocubed.com/blog/advantages-of-vue-js,"What are the Advantages of Vue js Framework in Web Development?",post,md_url,MISS,"Generated fresh (first visit or cache expired)",40,"19.62 KB",34.203.111.15,Direct,US,"2026-01-22 07:39:49"
91,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/angular-development-companies,"10 Best Angular Development Companies [ Latest Reviews]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",50,"29.10 KB",2a03:2880:f802:45::,Direct,US,"2026-01-22 07:22:56"
90,Unknown_Bot,Mozilla,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",https://www.monocubed.com/blog/most-popular-web-frameworks,"List of 10 Best Web Frameworks for Web App Development in [year]",post,md_url,MISS,"Generated fresh (first visit or cache expired)",51,"26.55 KB",52.167.144.167,Direct,US,"2026-01-22 07:20:57"
89,Unknown_Bot,Meta-externalagent,"meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler)",https://www.monocubed.com/blog/progressive-web-apps,"Progressive Web Apps: A Comprehensive Guide",post,md_url,MISS,"Generated fresh (first visit or cache expired)",41,"21.48 KB",2a03:2880:f802:44::,Direct,US,"2026-01-22 07:19:55"
